Beach	LatLong	Latitude	Longitude	Lake
James Madison	43.081721,-89.383034	43.081721	-89.383034	Mendota
Lake Mendota	43.108409,-89.469934	43.108409	-89.469934	Mendota
Marshall	43.093556,-89.482121	43.093556	-89.482121	Mendota
Spring Harbor	43.082837,-89.469486	43.082837	-89.469486	Mendota
Tenney Park	43.093846,-89.371567	43.093846	-89.371567	Mendota
Warner Park	43.124271,-89.375969	43.124271	-89.375969	Mendota
BB Clarke	43.078167,-89.368762	43.078167	-89.368762	Monona
Bernies	43.056903,-89.389166	43.056903	-89.389166	Monona
Brittingham	43.063558,-89.391226	43.063558	-89.391226	Monona
Esther	43.047338,-89.358643	43.047338	-89.358643	Monona
Hudson	43.089857,-89.344507	43.089857	-89.344507	Monona
Olbrich	43.087664,-89.330082	43.087664	-89.330082	Monona
Olin	43.055097,-89.376333	43.055097	-89.376333	Monona
Goodland	43.000661,-89.338891	43.000661	-89.338891	Waubesa
Vilas	43.057937,-89.411203	43.057937	-89.411203	Wingra
