DATE,YEAR,Population (as of winter),LETHAL CONTROL ALLOWED?,COMPLAINT,Confirmation Status,Wolf or something else?,Confirmed binary,CONFIRMED,Combined confirmation status,Chronic Farm?,Animal or Property Involved,COUNTY,Management Zone,CONTROL USED?,Control used - binary
1976-08-19T00:00:00Z,1976,,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 sheep,Douglas,1,,
1980-06-30T00:00:00Z,1980,25,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1981-04-17T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1981-05-15T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1981-07-21T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1981-09-14T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf inj,Douglas,1,,No
1981-10-29T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 cow,Douglas,1,,No
1983-02-17T00:00:00Z,1983,19,no,Unspecified non-livestock,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,wolf complaint,Burnett,1,,No
1983-07-28T00:00:00Z,1983,19,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Forest,1,,No
1983-10-21T00:00:00Z,1983,19,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1985-03-02T00:00:00Z,1985,15,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1985-04-22T00:00:00Z,1985,15,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 sheep,Douglas,1,,
1986-12-28T00:00:00Z,1986,16,no,Pet depredation,,,,,,,1 dog,Lincoln,1,,
1988-08-18T00:00:00Z,1988,28,no,Livestock depredation,Unconfirmed wolf`,,Unconfirmed,,Unconfirmed,,1 Heifer,Lincoln,1,,No
1988-12-07T00:00:00Z,1988,28,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1+ sheep,Bayfield,1,,No
1989-02-03T00:00:00Z,1989,31,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
